"","x"
"1","LTB"
"2","RPL11"
"3","RPL39"
"4","RPL36"
"5","RPS25"
"6","RPL32"
"7","RPL9"
"8","RPL38"
"9","RPLP2"
"10","RPL34"
"11","RPS6"
"12","RPS29"
"13","TPT1"
"14","RPL13"
"15","RPL36A"
"16","RPS8"
"17","RPL37"
"18","RPS27"
"19","RPS15A"
"20","RPS3A"
"21","RPL7"
"22","RPL10"
"23","RPL13A"
"24","RPS27A"
"25","RPL21"
"26","ACTB"
"27","RPL41"
"28","RPLP1"
"29","CD52"
"30","MALAT1"
"31","CD8B"
"32","CD8A"
"33","CD3D"
"34","IL32"
"35","TRGC2"
"36","KLRG1"
"37","GZMM"
"38","TRBC2"
"39","CMC1"
"40","CCL5"
"41","GZMK"
"42","GZMH"
"43","TRAC"
"44","PPBP"
"45","DUSP2"
"46","CORO1A"
"47","HLA-A"
"48","SUB1"
"49","NKG7"
"50","RPS26"
"51","HLA-B"
"52","KLRB1"
"53","SH3BGRL3"
"54","PFN1"
"55","RPS19"
"56","RPS2"
"57","RPS3"
"58","RPS18"
"59","RPS12"
"60","RPL28"
"61","LYZ"
"62","S100A12"
"63","AC020656.1"
"64","FOS"
"65","IL1B"
"66","ZFP36"
"67","FCN1"
"68","S100A9"
"69","CXCL8"
"70","AC245014.3"
"71","NFKBIA"
"72","DUSP1"
"73","S100A8"
"74","AC007952.4"
"75","CST3"
"76","SRGN"
"77","CCL3L1"
"78","CCL3"
"79","HLA-DRA"
"80","KLF6"
"81","CCL4L2"
"82","HLA-DRB5"
"83","NEAT1"
"84","HLA-DPA1"
"85","CCL4"
"86","HLA-DPB1"
"87","IGHD"
"88","TCL1A"
"89","IGLC3"
"90","LINC00926"
"91","IGLC2"
"92","MS4A1"
"93","MEF2C"
"94","IGHM"
"95","CD79A"
"96","CD79B"
"97","CD37"
"98","CXCR4"
"99","CD74"
"100","LAPTM5"
"101","RPS11"
"102","BTG1"
"103","IGKC"
"104","RPL18A"
"105","RPL8"
"106","RACK1"
"107","RPL7A"
"108","RPS23"
"109","RPS5"
"110","RPL15"
"111","RPS17"
"112","RPL29"
"113","RPL37A"
"114","RPSA"
"115","RPL10A"
"116","KLRF1"
"117","TRDC"
"118","CLIC3"
"119","CD247"
"120","GNLY"
"121","SPON2"
"122","PTGDS"
"123","PRF1"
"124","CTSW"
"125","CST7"
"126","GZMB"
"127","IFITM2"
"128","FGFBP2"
"129","UBB"
"130","KLRD1"
"131","SERF2"
"132","ARPC2"
"133","HBA1"
"134","CD7"
"135","ID2"
"136","HLA-C"
"137","GZMA"
"138","CFL1"
"139","MYL12A"
"140","HLA-E"
"141","B2M"
"142","C1orf56"
"143","STMN1"
"144","TUBA1B"
"145","LYPD2"
"146","LST1"
"147","CEBPB"
"148","SERPINA1"
"149","IFITM3"
"150","PSAP"
"151","FCER1G"
"152","AIF1"
"153","S100A11"
"154","MS4A7"
"155","SPI1"
"156","COTL1"
"157","IFI30"
"158","NAP1L1"
"159","TIMP1"
"160","ARPC1B"
"161","OAZ1"
"162","SAT1"
"163","FCGR3A"
"164","EMP3"
"165","FTH1"
"166","NPC2"
"167","STXBP2"
"168","FTL"
"169","S100A4"
"170","S100A6"
"171","CYBA"
"172","LGALS1"
"173","TMSB4X"
"174","CD4"
"175","NCAM1"
"176","CD3E"
"177","CD19"
"178","CD14"
"179","ITGAX"
"180","IL7R"
"181","NECTIN2"
"182","ITGAL"
"183","IL3RA"
"184","FUT4"
"185","PVR"
"186","KIR3DL1"
"187","CD163"
"188","SIGLEC1"
"189","CCR3"
"190","CCR4"
"191","CCR6"
"192","CD1C"
"193","CD2"
"194","CR2"
"195","CD22"
"196","CD226"
"197","CD244"
"198","IL2RA"
"199","TNFRSF13C"
"200","CD27"
"201","ICOS"
"202","PDCD1"
"203","ITGB1"
"204","LAIR1"
"205","PECAM1"
"206","KLRK1"
"207","FCGR2A"
"208","SIGLEC7"
"209","CD33"
"210","NCR1"
"211","NCR3"
"212","CR1"
"213","CD36"
"214","HAVCR2"
"215","CD38"
"216","ENTPD1"
"217","ITGA2B"
"218","PTPRC"
"219","CD47"
"220","ITGA2"
"221","ITGA4"
"222","ITGA6"
"223","CD5"
"224","ICAM1"
"225","B3GAT1"
"226","SELL"
"227","SELP"
"228","FCGR1A"
"229","CD69"
"230","TFRC"
"231","NT5E"
"232","FAS"
"233","CD96"
"234","CLEC12A"
"235","TRDV2"
"236","TIGIT"
"237","CCR7"
"238","CXCR3"
"239","CXCR5"
"240","CD24"
"241","THBD"
"242","FCGR2B"
"243","TRBC1"
"244","CD3G"
"245","FCER1A"
"246","VEGFA"
"247","VEGFB"
